bs	ic	height	width	oc	stride	ksize	mode
4	3	32	32	5	3	4	0
1	3	32	32	5	4	4	0
2	3	32	32	5	4	4	0
3	3	32	32	5	4	4	0
4	3	32	32	5	4	4	0
1	3	32	32	5	1	5	0
2	3	32	32	5	1	5	0
3	3	32	32	5	1	5	0
4	3	32	32	5	1	5	0
1	3	32	32	5	2	5	0
2	3	32	32	5	2	5	0
3	3	32	32	5	2	5	0
4	3	32	32	5	2	5	0
1	3	32	32	5	3	5	0
2	3	32	32	5	3	5	0
3	3	32	32	5	3	5	0
4	3	32	32	5	3	5	0
1	3	32	32	5	4	5	0
2	3	32	32	5	4	5	0
3	3	32	32	5	4	5	0
4	3	32	32	5	4	5	0
1	3	32	32	5	5	5	0
2	3	32	32	5	5	5	0
3	3	32	32	5	5	5	0
4	3	32	32	5	5	5	0
1	3	32	32	5	1	6	0
2	3	32	32	5	1	6	0
3	3	32	32	5	1	6	0
4	3	32	32	5	1	6	0
1	3	32	32	5	2	6	0
2	3	32	32	5	2	6	0
3	3	32	32	5	2	6	0
4	3	32	32	5	2	6	0
1	3	32	32	5	3	6	0
2	3	32	32	5	3	6	0
3	3	32	32	5	3	6	0
4	3	32	32	5	3	6	0
1	3	32	32	5	4	6	0
2	3	32	32	5	4	6	0
3	3	32	32	5	4	6	0
4	3	32	32	5	4	6	0
1	3	32	32	5	5	6	0
2	3	32	32	5	5	6	0
3	3	32	32	5	5	6	0
4	3	32	32	5	5	6	0
1	3	32	32	5	6	6	0
2	3	32	32	5	6	6	0
3	3	32	32	5	6	6	0
4	3	32	32	5	6	6	0
1	3	32	32	5	1	7	0
2	3	32	32	5	1	7	0
3	3	32	32	5	1	7	0
